"species","decimalLongitude","decimalLatitude","dataSplit","Occ[1]_or_Bg[0]","ELEV","EVIM","EVISD","FC","HP","PDQ","PWQ","PrecipASTM","PrecipASTSD"
"Anopheles gambiae",2.5826564434854,6.40049640019683,"Training",1,4,3392.99633789062,927.304016113281,17,6.87625360488892,0.160069555044174,0.584997653961182,26.6218528747559,1.23306941986084
"Anopheles gambiae",2.07959988437489,6.37354694167307,"Training",1,19,2740.96142578125,774.420471191406,8,15.2983484268188,0.149818524718285,0.583980619907379,26.8321800231934,1.33301162719727
"Anopheles gambiae",2.4119765395015,6.35558063599056,"Training",1,11,1800.61865234375,376.093078613281,2,166.737533569336,0.142932757735252,0.547399938106537,26.5890712738037,1.27677822113037
"Anopheles gambiae",2.45689230370778,6.49931108145063,"Training",1,1,2545.83325195312,423.182434082031,13,4.38343620300293,0.142932757735252,0.547399938106537,26.5890712738037,1.27677822113037
"Anopheles gambiae",2.30417870540637,6.38253009451432,"Training",1,5,3014.37158203125,624.741516113281,9,25.9901733398438,0.142932757735252,0.547399938106537,26.5890712738037,1.27677822113037
"Anopheles gambiae",2.35807762245392,6.51727738713313,"Training",1,38,3070.36767578125,1054.52917480469,14,16.854061126709,0.129602417349815,0.507909834384918,26.6567096710205,1.32079994678497
"Anopheles gambiae",1.67535800651822,6.93948557067205,"Training",1,144,3241.9833984375,1052.64587402344,10,8.03327560424805,0.0698379352688789,0.493319898843765,26.4427700042725,1.39627349376678
"Anopheles gambiae",32.4516396406728,0.0583904942717908,"Training",1,1153,3134.80834960938,533.236083984375,29,12.0079822540283,0.270526349544525,0.472062528133392,21.6775169372559,0.933460533618927
"Anopheles gambiae",1.98078520312103,7.08321601613211,"Training",1,154,3090.44702148438,1032.22998046875,13,6.38735914230347,0.0585536472499371,0.542063355445862,26.4758930206299,1.45038676261902
"Anopheles gambiae",36.0179513186528,0.651278581794529,"Training",1,1030,2028.51098632812,673.741760253906,4,0.144554913043976,0.0850487127900124,0.52027440071106,24.9060707092285,1.49249982833862
"Anopheles gambiae",12.95819797514,-1.75620637966144,"Training",1,615,4219.85107421875,1121.46875,87,0.0274229682981968,0.209223985671997,0.755932033061981,23.2886505126953,0.986626625061035
"Anopheles gambiae",2.28621239972387,6.38253009451432,"Training",1,4,2863.67700195312,592.888732910156,8,22.3498134613037,0.142932757735252,0.547399938106537,26.5890712738037,1.27677822113037
"Anopheles gambiae",2.32214501108891,6.45439531724436,"Training",1,25,2704.83227539062,878.604919433594,11,16.7420291900635,0.142932757735252,0.547399938106537,26.5890712738037,1.27677822113037
"Anopheles gambiae",2.26824609404133,6.40947955303808,"Training",1,9,3227.66967773438,850.738830566406,15,10.0936622619629,0.142932757735252,0.547399938106537,26.5890712738037,1.27677822113037
"Anopheles gambiae",2.42095969234276,6.36456378883182,"Training",1,8,1096.44006347656,224.802719116211,0,175.603363037109,0.142932757735252,0.547399938106537,26.5890712738037,1.27677822113037
"Anopheles gambiae",2.33112816393015,6.40947955303808,"Training",1,16,2332.06909179688,656.766540527344,7,29.9741630554199,0.142932757735252,0.547399938106537,26.5890712738037,1.27677822113037
"Anopheles gambiae",2.40299338666023,6.40049640019683,"Training",1,0,264.569854736328,351.214202880859,0,17.9070644378662,0.142932757735252,0.547399938106537,26.5890712738037,1.27677822113037
"Anopheles gambiae",2.34011131677141,6.41846270587934,"Training",1,17,2470.19384765625,872.199951171875,9,18.0965633392334,0.142932757735252,0.547399938106537,26.5890712738037,1.27677822113037
"Anopheles gambiae",2.44790915086654,6.39151324735558,"Training",1,4,907.310119628906,306.458435058594,2,38.0389595031738,0.142932757735252,0.547399938106537,26.5890712738037,1.27677822113037
"Anopheles gambiae",2.36706077529519,6.38253009451432,"Training",1,7,1983.75817871094,438.785003662109,3,46.4352226257324,0.142932757735252,0.547399938106537,26.5890712738037,1.27677822113037
"Anopheles gambiae",2.429942845184,6.38253009451432,"Training",1,5,827.785461425781,182.609771728516,0,35.8802642822266,0.142932757735252,0.547399938106537,26.5890712738037,1.27677822113037
"Anopheles gambiae",2.35807762245392,6.61609206838692,"Training",1,51,3443.49169921875,1241.02465820312,14,11.1913661956787,0.129602417349815,0.507909834384918,26.6567096710205,1.32079994678497
"Anopheles gambiae",2.44790915086654,6.37354694167307,"Training",1,7,842.720031738281,226.55224609375,1,140.763366699219,0.142932757735252,0.547399938106537,26.5890712738037,1.27677822113037
"Anopheles gambiae",2.35807762245392,6.47236162292687,"Training",1,24,2156.259765625,733.406311035156,4,20.3781585693359,0.142932757735252,0.547399938106537,26.5890712738037,1.27677822113037
"Anopheles gambiae",2.43892599802527,6.37354694167307,"Training",1,4,611.845886230469,167.91748046875,0,125.882164001465,0.142932757735252,0.547399938106537,26.5890712738037,1.27677822113037
"Anopheles gambiae",2.37604392813645,6.35558063599056,"Training",1,8,1709.27294921875,418.966674804688,4,114.239280700684,0.142932757735252,0.547399938106537,26.5890712738037,1.27677822113037
"Anopheles gambiae",2.51977437359659,6.6969404439582,"Training",1,60,3292.52001953125,1028.83239746094,13,2.57487416267395,0.143544837832451,0.541677951812744,26.6870899200439,1.29634118080139
"Anopheles gambiae",2.26824609404133,6.45439531724436,"Training",1,28,3376.68505859375,1036.65270996094,15,7.45715475082397,0.142932757735252,0.547399938106537,26.5890712738037,1.27677822113037
"Anopheles gambiae",-2.46587545330235,12.320394122583,"Training",1,311,1637.310546875,701.190856933594,0,4.2753701210022,0.000366887310519814,0.46399387717247,27.4942588806152,1.48012435436249
