"species","decimalLongitude","decimalLatitude","dataSplit","Occ[1]_or_Bg[0]","ELEV","EVIM","EVISD","FC","HP","PDQ","PWQ","TAM","TASD"
"Aedes aegypti",-103.283799790756,20.7196420291551,"Training",1,1357,3359.8955078125,1634.24719238281,12,0.00806730799376965,0.026638051494956,0.608120203018188,20.7379970550537,1.32000279426575
"Aedes aegypti",-36.1257491495012,-7.88271661739638,"Training",1,488,2921.59838867188,1051.17321777344,8,0.0491354018449783,0.0274907350540161,0.141125425696373,24.8715648651123,0.743930578231812
"Aedes aegypti",-54.0291727621311,-27.9241306062332,"Training",1,388,3841.01245117188,1567.52551269531,1,0.0508410967886448,0.393428415060043,0.578505337238312,20.706298828125,3.0585572719574
"Aedes aegypti",146.798192157063,-19.2823375729472,"Training",1,10,2757.51000976562,521.840698242188,3,16.9377765655518,0.0462140142917633,0.604179620742798,24.1133060455322,1.2996381521225
"Aedes aegypti",-42.6115855008905,-2.84316787345311,"Training",1,34,3034.60888671875,607.159973144531,0,0.104538723826408,0.0264734178781509,0.843130707740784,27.4890403747559,0.672551453113556
"Aedes aegypti",-41.7312365224471,-13.6319344357987,"Training",1,1015,3448.97192382812,866.270263671875,57,0.0135332429781556,0.0306814014911652,0.313125461339951,22.055721282959,1.21215796470642
"Aedes aegypti",-39.9795217184015,-17.7372352842516,"Training",1,115,3837.98388671875,810.607055664062,5,0.00182477454654872,0.100660383701324,0.342660188674927,24.6947574615479,1.44506561756134
"Aedes aegypti",-49.3579332846763,-10.6405445396612,"Training",1,227,3857.16333007812,751.65576171875,24,0.001136988052167,0.00552140828222036,0.910501003265381,27.1357688903809,1.09284925460815
"Aedes aegypti",-103.759906891343,19.3272533387608,"Training",1,632,3052.48364257812,976.303955078125,26,27.9357585906982,0.0709819719195366,0.893609344959259,20.4808521270752,1.09154057502747
"Aedes aegypti",-48.1901234153125,-6.19388388324072,"Training",1,137,3939.4287109375,1005.06335449219,6,0.00126668286975473,0.030376922339201,0.912578523159027,27.2582950592041,0.913680851459503
"Aedes aegypti",71.5822534171986,34.0057250813691,"Training",1,343,806.332397460938,161.626815795898,0,51.5328598022461,0.0730428248643875,0.277261137962341,22.638671875,2.39137578010559
"Aedes aegypti",-54.2357852774801,-11.8173375618655,"Training",1,291,4596.39306640625,792.365417480469,86,0.000232745485845953,0.00912353582680225,0.791160702705383,25.4995861053467,1.10742783546448
"Aedes aegypti",100.364275120594,13.6768502016123,"Training",1,6,3210.70727539062,635.583190917969,4,35.4177207946777,0.0924179181456566,0.611271262168884,28.7270069122314,1.28544437885284
"Aedes aegypti",-50.4359116256274,-22.9923796963849,"Training",1,428,3448.39868164062,1465.3271484375,4,0.0127868531271815,0.145156800746918,0.595064401626587,23.0560493469238,2.34150981903076
"Aedes aegypti",-50.6874399051827,-22.8666155566074,"Training",1,386,3916.55395507812,1390.48217773438,0,0.00271931919269264,0.140872746706009,0.554206550121307,23.2960586547852,2.32722306251526
"Aedes aegypti",-38.4883183467524,-12.5180234834832,"Training",1,60,3273.4345703125,826.446105957031,2,74.7105178833008,0.179822996258736,0.365010797977448,25.5171813964844,0.967420101165771
"Aedes aegypti",-98.5137456320475,29.5051655079011,"Training",1,244,2627.89208984375,597.410095214844,3,11.2580194473267,0.174050465226173,0.244301810860634,19.7027416229248,3.24177932739258
"Aedes aegypti",100.346308814911,16.4436612767184,"Training",1,44,3172.39794921875,799.136840820312,0,11.9700565338135,0.0524465776979923,0.93875640630722,28.4950180053711,1.44291520118713
"Aedes aegypti",-50.1304844290246,-17.9168983410767,"Training",1,518,3403.29345703125,1236.87878417969,0,0.00135638355277479,0.0152549771592021,0.603474795818329,25.3145065307617,1.64024078845978
"Aedes aegypti",99.5827408234041,13.5331197561522,"Training",1,88,3453.10498046875,966.486694335938,0,0.583871781826019,0.0780950263142586,0.513669490814209,27.7971801757812,1.36111640930176
"Aedes aegypti",-39.1171390456406,-15.6172112137157,"Training",1,6,4916.65380859375,1456.45751953125,9,0.0162580981850624,0.190440759062767,0.35490408539772,24.2033023834229,0.992675423622131
"Aedes aegypti",-35.8113388000571,-8.60136884469668,"Training",1,373,3998.42260742188,1040.89245605469,16,0.184721305966377,0.0919855087995529,0.232417747378349,22.8879890441895,0.736392557621002
"Aedes aegypti",-51.7564350932925,-11.7903881033417,"Training",1,333,4068.17041015625,1089.13647460938,73,0.00182172528002411,0.00514685222879052,0.844332158565521,25.6468353271484,1.06224596500397
"Aedes aegypti",-41.5425903127806,-7.23592961282613,"Training",1,247,2965.39013671875,1270.68347167969,9,0.0592552199959755,0.00670718494802713,0.57075572013855,28.2167720794678,1.34229111671448
"Aedes aegypti",100.499022413213,13.667867048771,"Training",1,7,2284.29174804688,634.337280273438,6,78.8911590576172,0.0924179181456566,0.611271262168884,28.7270069122314,1.28544437885284
"Aedes aegypti",74.2771992695764,31.5712906613894,"Training",1,210,1208.38110351562,340.732849121094,0,102.411155700684,0.0419263802468777,0.401122987270355,24.3166580200195,2.02196168899536
"Aedes aegypti",-59.5987275237119,-18.3391065246156,"Training",1,632,4329.65283203125,820.137451171875,14,0.426990330219269,0.0922460630536079,0.415793925523758,24.7371635437012,2.90988945960999
"Aedes aegypti",-42.836164321922,-22.0221991895295,"Training",1,649,4625.33984375,1120.92651367188,50,0.00406338833272457,0.0762309059500694,0.68834000825882,21.3267116546631,1.68817448616028
"Aedes aegypti",-12.2305625917513,12.5988718606618,"Training",1,157,2501.92529296875,1310.70068359375,7,0.332057148218155,0.00161689566448331,0.618227660655975,28.9631423950195,1.16805326938629
"Aedes aegypti",-47.6601173976782,-23.5403520197014,"Training",1,618,4122.72412109375,765.739196777344,12,0.303970992565155,0.135047852993011,0.543897688388824,21.2184505462646,2.22428417205811
"Aedes aegypti",-97.3279694570013,20.9711703087102,"Training",1,3,2836.57983398438,655.507629394531,8,8.86162090301514,0.11784790456295,0.447860568761826,24.9711170196533,1.82860207557678
"Aedes aegypti",-39.6471450632749,-11.6197081993579,"Training",1,294,2757.03857421875,916.323608398438,2,0.0162285175174475,0.0813510194420815,0.195228770375252,25.4932670593262,1.24124336242676
"Aedes aegypti",-52.0708454427366,-16.192132995556,"Training",1,392,3443.9658203125,1513.08569335938,0,0.0015926556661725,0.00502995029091835,0.79156768321991,26.0744819641113,1.39249241352081
"Aedes aegypti",-100.921230593505,20.2884506927749,"Training",1,1746,3476.73876953125,1241.92700195312,0,3.69898176193237,0.0304979383945465,0.430285304784775,19.5105934143066,1.59117138385773
"Aedes aegypti",-39.7639260502113,-13.8115974926238,"Training",1,289,4397.7080078125,890.844970703125,35,0.0891005098819733,0.163767710328102,0.285346329212189,22.3548812866211,1.10396540164948
"Aedes aegypti",106.535701122539,10.2183363577296,"Training",1,3,4388.29150390625,859.927429199219,2,1.54175162315369,0.0772615447640419,0.89871621131897,27.408130645752,0.885063350200653
"Aedes aegypti",-40.7071570985435,-15.769924812017,"Training",1,704,4851.0078125,1077.01904296875,57,0.0100931795313954,0.128060936927795,0.408170014619827,21.6627864837646,1.27298748493195
"Aedes aegypti",-93.0430055517206,18.132494010874,"Training",1,10,5030.17431640625,670.670715332031,27,13.3392534255981,0.0999801233410835,0.692955613136292,27.0080604553223,1.69168722629547
"Aedes aegypti",73.3070187627204,16.9916336000348,"Training",1,57,2534.271484375,869.358215332031,2,28.5559387207031,0.00509782787412405,2.12246704101562,26.7943134307861,0.803110063076019
"Aedes aegypti",-98.1095037541909,16.3897623596708,"Training",1,254,3740.298828125,1344.20849609375,3,6.38364744186401,0.016285901889205,0.860079765319824,26.6437034606934,0.956267476081848
"Aedes aegypti",-54.8286733650032,-28.1037936630582,"Training",1,244,3772.88305664062,1348.861328125,8,0.0486587807536125,0.351429253816605,0.559382915496826,20.9877414703369,3.17451167106628
"Aedes aegypti",-48.1092750397412,-11.4130956840091,"Training",1,275,3221.55053710938,788.746948242188,16,0.00311312498524785,0.00317934527993202,0.780788242816925,27.102409362793,1.19665133953094
"Aedes aegypti",-73.1273557026486,7.12813178033838,"Training",1,957,1693.88977050781,563.497985839844,0,85.1629180908203,1.27763557434082,2.89172220230103,22.3191089630127,0.732251346111298
"Aedes aegypti",-54.2896841945277,-27.9870126761219,"Training",1,374,3983.78735351562,1751.86376953125,1,0.00450911791995168,0.362146407365799,0.540282368659973,20.8788032531738,3.08477377891541
"Aedes aegypti",-100.570887632696,22.3994916104695,"Training",1,1584,2051.27172851562,482.721893310547,0,0.527610898017883,0.0489002428948879,0.193144962191582,18.284574508667,2.06565570831299
"Aedes aegypti",120.342807039555,22.5611883616121,"Training",1,8,1273.98901367188,335.191558837891,0,32.6876754760742,0.127427577972412,1.10010933876038,25.0649948120117,1.56984162330627
"Aedes aegypti",-48.9986071710259,-16.5873917205711,"Training",1,830,4334.58349609375,1326.16772460938,13,0.00683870725333691,0.00999051053076982,0.761236250400543,22.9799823760986,1.36402940750122
